避難收容處所名稱,避難收容處所地址,經度,緯度,室內室外,可容納人數,最近測站ID,最近測站名稱,最近測站位置,周圍空氣污染指數,風險等級,最近測站距離(km),影響測站數量
五峰活動中心,,121.073,24.386,True,110,三義,三義,(苗栗縣),37.3,low risk,31.75,48
金門縣烈嶼鄉林湖村辦公處,東林24號,118.248571,24.428328,True,30,金門,金門,(金門縣),52.0,warning,6.46,1
南坑村集會所暨南外社區活動中心,9鄰大南坑1-5號,121.0561,24.6725,True,20,竹東,竹東,(新竹縣),36.34,low risk,8.3,46
霞雲社區活動中心,6鄰22-1號,121.406238,24.814018,True,36,新北（樹林）,新北（樹林）,(新北市),38.2,low risk,15.19,36
澤仁里辦公處,14鄰中正路168之1號,121.351987,24.820601,True,40,龍潭,龍潭,(桃園市),37.95,low risk,14.5,36
奎輝里活動中心,3鄰羅馬路3段355號,121.334302,24.797047,True,50,龍潭,龍潭,(桃園市),37.9,low risk,14.03,38
高義教會,6鄰48號,121.354462,24.706112,True,61,龍潭,龍潭,(桃園市),37.52,low risk,22.41,42
東莒老人活動中心,57-1號,119.977206,25.956666,True,0,馬祖,馬祖,(連江縣),46.0,low risk,22.05,1
福正風景管理處,1號,119.985351,25.961848,True,0,馬祖,馬祖,(連江縣),46.0,low risk,21.58,1
莒光指揮部國軍文康中心,莒光指揮部國軍文康中心,119.932125,25.97828,True,0,馬祖,馬祖,(連江縣),46.0,low risk,19.62,1
田沃老人活動中心,52號,119.944922,25.972438,True,0,馬祖,馬祖,(連江縣),46.0,low risk,20.17,1
青帆老人活動中心,1號,119.933712,25.969995,True,150,馬祖,馬祖,(連江縣),46.0,low risk,20.52,1
敬恆國中小禮堂,18號,119.933934,25.970819,True,200,馬祖,馬祖,(連江縣),46.0,low risk,20.43,1
東莒國小綜合教室,4號,119.97711,25.957484,True,200,馬祖,馬祖,(連江縣),46.0,low risk,21.96,1
上大社區活動中心,8鄰大湖路一段510號,121.147333,24.978234,True,0,平鎮,平鎮,(桃園市),37.77,low risk,6.37,35
武威社區活動中心,4鄰武威一路10號,121.073317,25.028242,True,0,觀音,觀音,(桃園市),37.96,low risk,1.26,35
塔腳社區活動中心,4鄰塔腳路116號,121.154708,25.049298,True,0,大園,大園,(桃園市),38.79,low risk,4.99,35
廣福社區活動中心,福山路二段403巷6號,121.153383,25.019018,True,0,大園,大園,(桃園市),38.36,low risk,6.8,35
草漯國民小學,新生路1462號,121.142939,25.045941,True,100,觀音,觀音,(桃園市),38.6,low risk,6.16,35
上大國民小學,8鄰大湖路一段540號,121.146755,24.979129,True,100,平鎮,平鎮,(桃園市),37.78,low risk,6.47,35
